date	visitors_now	visitors_today	visitors_ytd	temp_main	temp_dive	temp_hot_tub	temp_kids	temp_teaching	temp_slides
2023-03-14T21:35:56.286Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T21:51:29.014Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T21:53:44.438Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:02:49.510Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:13:42.760Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:25:05.789Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:33:52.214Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:42:02.241Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:50:14.998Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T22:58:22.573Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T23:08:33.021Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T23:20:31.757Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T23:28:56.136Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T23:37:19.368Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T23:45:25.536Z	67	1274	79100	27	27	28	32	33	28
2023-03-14T23:53:36.307Z	67	1274	79100	27	27	28	32	33	28
2023-03-15T00:26:58.600Z	15	15	79100	27	27	28	32	33	28
2023-03-15T00:52:35.814Z	15	15	79100	27	27	28	32	33	28
2023-03-15T01:27:36.235Z	15	15	79100	27	27	28	32	33	28
2023-03-15T02:00:50.093Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T02:26:29.769Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T02:44:07.536Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T02:54:19.879Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:03:29.422Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:14:56.683Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:25:46.174Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:34:13.034Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:42:22.297Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:50:35.783Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T03:58:47.178Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T04:09:33.639Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T04:22:50.750Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T04:33:37.285Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T04:42:31.217Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T04:50:48.715Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T04:58:57.472Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T05:09:12.612Z	NaN	NaN	79100	27	27	28	32	33	28
2023-03-15T05:20:49.625Z	30	30	79200	27	27	28	32	33	28
2023-03-15T05:29:18.178Z	40	40	79200	27	27	28	32	33	28
2023-03-15T05:37:31.972Z	42	42	79200	27	27	28	32	33	28
2023-03-15T05:45:44.802Z	46	46	79200	27	27	28	32	33	28
